,Happiness rank,Country,Happiness score,2018
0,6,Netherlands,7.441,23520.6
1,7,Canada,7.328,19811.1
2,8,New Zealand,7.324,20932.5
3,10,Australia,7.272,23975.6
4,11,United Kingdom,7.19,20053.1
5,13,Costa Rica,7.072,9132.3
6,14,Ireland,6.977,20008.7
7,16,Belgium,6.927,21654.4
8,17,Luxembourg,6.91,24553.0
9,18,United States,6.886,15080.0
10,19,Israel,6.814,15104.2
11,21,Czech Republic,6.711,10342.4
12,23,France,6.489,20903.3
13,24,Mexico,6.488,2188.0
14,25,Chile,6.476,7319.5
15,28,Brazil,6.419,5114.3
16,36,Spain,6.31,14289.8
17,37,Colombia,6.26,7768.5
18,42,Poland,6.123,13214.9
19,50,Lithuania,5.952,9365.1
20,51,Slovenia,5.948,15269.9
21,53,Latvia,5.933,8969.8
22,54,Japan,5.915,16832.1
23,63,Estonia,5.739,9609.1
24,69,Hungary,5.62,10669.4
25,74,Turkey,5.483,12616.0
26,77,Portugal,5.41,12004.1
27,79,Greece,5.358,12128.0
